,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,logFC,logCPM,F,PValue,FDR
ENSG00000005884.18,ITGA3,3675,17,1,50055968,50090481,-0.241382186,9.300508889,3.006613945,0.098074152,0.274631761
ENSG00000005889.15,ZFX,7543,X,1,24149173,24216255,0.014117315,4.448665635,0.019171303,0.89123962,0.943789126
ENSG00000005893.15,LAMP2,3920,X,-1,120426148,120469365,0.148350331,7.195523284,3.513639163,0.075316794,0.233921425
ENSG00000006007.12,GDE1,51573,16,-1,19501693,19522123,0.034033949,6.627567212,0.093266215,0.763171919,0.874366398
ENSG00000006015.17,REX1BD,55049,19,1,18588685,18592337,-0.188818155,4.604739266,0.846050018,0.368464284,0.581717523
ENSG00000006016.11,CRLF1,9244,19,-1,18572220,18607741,-0.467368202,3.104933187,1.504470841,0.23400977,0.448071726
ENSG00000006025.12,OSBPL7,114881,17,-1,47807372,47821834,0.662590703,4.210561647,7.485263349,0.012617942,0.081478271
ENSG00000006042.12,TMEM98,26022,17,1,32927910,32945106,-0.553923416,2.090490549,6.977071248,0.01826299,0.101780089
ENSG00000006062.16,MAP3K14,9020,17,-1,45263119,45317029,0.245780858,4.39499676,4.41941525,0.048193522,0.181172894
ENSG00000006118.14,TMEM132A,54972,11,1,60924460,60937159,0.268554419,6.167339468,3.180550596,0.08946586,0.25955312
ENSG00000006125.18,AP2B1,163,17,1,35578046,35726413,-0.089632843,8.744606233,0.970586804,0.336121204,0.552761091
ENSG00000006194.10,ZNF263,10127,16,1,3283283,3301401,-0.047303413,5.27064064,0.428090298,0.520265507,0.706936611
ENSG00000006210.7,CX3CL1,6376,16,1,57372477,57385044,0.240924533,5.475183815,0.516944821,0.480336007,0.674603901
ENSG00000006282.21,SPATA20,64847,17,1,50543058,50555852,0.265348469,6.586477909,13.28952049,0.001576548,0.023701001
ENSG00000006327.13,TNFRSF12A,51330,16,1,3018445,3022383,-0.869529129,6.978782424,8.511623527,0.008421692,0.064454654
ENSG00000006432.15,MAP3K9,4293,14,-1,70722526,70809534,0.141476986,4.513444843,0.810239092,0.378595013,0.590035269
ENSG00000006451.8,RALA,5898,7,1,39623565,39708120,-0.194237871,6.008964266,5.045534042,0.035956227,0.151022881
ENSG00000006453.14,BAIAP2L1,55971,7,-1,98291650,98401090,-0.146629372,7.525610014,3.162882418,0.090298836,0.261070042
ENSG00000006459.11,KDM7A,80853,7,-1,140084746,140176983,-0.096759349,4.672701113,0.225376943,0.6400361,0.791161445
ENSG00000006468.14,ETV1,2115,7,-1,13891229,13991425,-1.160535784,4.078446336,32.73277622,1.26E-05,0.00194756
ENSG00000006530.17,AGK,55750,7,1,141551278,141655244,-0.084715204,4.988627171,0.610348262,0.443665193,0.643567752
ENSG00000006534.16,ALDH3B1,221,11,1,68008578,68029282,0.887711235,6.704094506,47.09424751,1.05E-06,0.000642864
ENSG00000006555.11,TTC22,55001,1,-1,54779712,54801323,0.501602473,4.860646613,13.29532726,0.002316265,0.029931112
ENSG00000006576.16,PHTF2,57157,7,1,77798773,77957503,-0.277060999,4.767911792,12.6363808,0.001948882,0.026857829
ENSG00000006607.14,FARP2,9855,2,1,241356285,241494841,0.417578886,3.792136355,3.841493472,0.063858536,0.213231154
ENSG00000006611.16,USH1C,10083,11,-1,17493895,17544416,0.164081814,6.01685646,0.271306432,0.608087325,0.768524702
ENSG00000006625.18,GGCT,79017,7,-1,30496621,30504841,-0.495782735,5.545154082,4.86519166,0.039075325,0.158442092
ENSG00000006634.8,DBF4,10926,7,1,87876216,87909553,-0.681465196,4.333033107,19.11483357,0.000285452,0.008973839
ENSG00000006638.11,TBXA2R,6915,19,-1,3594507,3606875,0.034768992,1.593159063,0.000410497,0.984033047,0.992019962
ENSG00000006652.14,IFRD1,3475,7,1,112422887,112481017,-0.160947887,4.692722636,1.763394182,0.198927868,0.409405406
ENSG00000006695.11,COX10,1352,17,1,14069490,14231736,-0.086223581,3.841016881,0.561112509,0.462397209,0.658844821
ENSG00000006704.10,GTF2IRD1,9569,7,1,74453790,74602605,0.173335704,5.676546187,3.863649355,0.063159606,0.211631815
ENSG00000006712.15,PAF1,54623,19,-1,39385629,39391154,0.025951051,5.883513594,0.127258025,0.724970171,0.850490922
ENSG00000006715.16,VPS41,27072,7,-1,38722974,38932394,0.183681818,5.796136882,4.485151313,0.046707928,0.178029369
ENSG00000006740.17,ARHGAP44,9912,17,1,12789498,12991643,0.260225592,3.489466269,0.46185353,0.504428676,0.694749925
ENSG00000006744.19,ELAC2,60528,17,-1,12991612,13018065,0.058269715,6.474803586,0.44852242,0.510577508,0.699784191
ENSG00000006747.15,SCIN,85477,7,1,12570577,12660182,0.947870516,3.639014143,5.636421794,0.027547427,0.129561397
ENSG00000006756.16,ARSD,414,X,-1,2903972,2929349,0.260198591,5.621830136,7.629160282,0.011908943,0.07894363
ENSG00000006757.12,PNPLA4,8228,X,-1,7898247,7927739,-0.119316945,3.294311816,0.163187122,0.691822613,0.828563225
ENSG00000006831.10,ADIPOR2,79602,12,1,1688574,1788674,-0.15000216,6.69135483,2.787189602,0.110356958,0.293950608
ENSG00000006837.12,CDKL3,51265,5,-1,134286350,134371047,0.03039422,0.067749905,0.008452149,0.92764965,0.961335651
ENSG00000007038.11,PRSS21,10942,16,1,2817180,2826304,0.189438453,3.493197092,1.039860948,0.32369015,0.541114735
ENSG00000007047.15,MARK4,57787,19,1,45079288,45305284,0.313332614,5.316400399,13.39014696,0.001526519,0.02333962
ENSG00000007062.11,PROM1,8842,4,-1,15963076,16084378,0.774491448,1.231940391,4.212418467,0.053235618,0.191562077
ENSG00000007080.11,CCDC124,115098,19,1,17933015,17943991,-0.193735301,6.242972474,1.420388083,0.247074852,0.462300077
ENSG00000007168.13,PAFAH1B1,5048,17,1,2593210,2685615,-0.021657676,6.95380166,0.065927077,0.799944073,0.894137139
ENSG00000007202.15,BLTP2,9703,17,-1,28614446,28645454,0.005151662,8.120535911,0.005717584,0.940465221,0.967914277
ENSG00000007237.18,GAS7,8522,17,-1,9910606,10198606,-0.442799448,1.118448528,2.442118479,0.133558657,0.326971274
ENSG00000007255.10,TRAPPC6A,79090,19,-1,45162928,45178237,0.360860424,4.958392137,2.488974514,0.130089557,0.322352159
ENSG00000007264.15,MATK,4145,19,-1,3777970,3802129,-0.811028698,1.369477464,1.518285503,0.231948729,0.445847779
ENSG00000007341.19,ST7L,54879,1,-1,112523514,112620825,-0.041621159,3.366276701,0.272705486,0.607169937,0.767844949
ENSG00000007372.22,PAX6,5080,11,-1,31784779,31817961,-0.171320168,1.776697103,0.453264618,0.508375051,0.698359241
ENSG00000007376.8,RPUSD1,113000,16,-1,784974,788397,0.041564462,5.403657012,0.074319917,0.787899229,0.888432682
ENSG00000007384.15,RHBDF1,64285,16,-1,58059,76355,0.087102281,6.025296405,0.846529588,0.368331314,0.581712135
ENSG00000007392.16,LUC7L,55692,16,-1,188969,229463,0.062907258,5.034658927,0.447758811,0.510933746,0.700017175
ENSG00000007516.13,BAIAP3,8938,16,1,1333638,1349441,0.369001996,4.309415328,2.015410411,0.170870819,0.375226466
ENSG00000007520.4,TSR3,115939,16,-1,1349240,1351878,-0.137514825,6.215788621,0.440667047,0.514263524,0.702121394
ENSG00000007541.16,PIGQ,9091,16,1,566995,584109,0.300683832,5.762447519,11.52828466,0.002824217,0.033646478
ENSG00000007545.15,CRAMP1,57585,16,1,1612337,1677908,0.2688253,5.24938684,1.922390269,0.18062033,0.386920458
ENSG00000007866.21,TEAD3,7005,6,-1,35473597,35497079,0.300713587,4.950996708,9.060562042,0.006834274,0.057536048
ENSG00000007923.16,DNAJC11,55735,1,-1,6634168,6701924,-0.00998676,5.95755347,0.010915058,0.917816744,0.956665755
ENSG00000007944.15,MYLIP,29116,6,1,16129086,16148248,0.913440016,3.903411054,16.07760207,0.000670075,0.014258933
ENSG00000007968.7,E2F2,1870,1,-1,23506438,23531233,-0.873850625,3.218868806,9.344482273,0.006146033,0.0545588
ENSG00000008018.9,PSMB1,5689,6,-1,170535120,170553307,-0.30681684,7.204635158,2.700493271,0.115703514,0.301980469
ENSG00000008083.14,JARID2,3720,6,1,15246069,15522042,0.210748268,4.71384636,1.973527078,0.17517858,0.380160379
ENSG00000008086.11,CDKL5,6792,X,1,18425583,18653629,0.44584761,2.378778496,3.779195934,0.065871918,0.21715552
ENSG00000008128.23,CDK11A,728642,1,-1,1702379,1724357,0.281635217,5.388549633,3.743844079,0.067046888,0.219310727
ENSG00000008130.15,NADK,65220,1,-1,1751232,1780457,0.087816137,6.490451486,2.5469349,0.12594584,0.316992723
ENSG00000008256.16,CYTH3,9265,7,-1,6161776,6272644,0.38857551,5.32634599,14.61876653,0.001038523,0.018455022
ENSG00000008277.14,ADAM22,53616,7,1,87934143,88202889,0.417367814,3.240055974,8.843393249,0.162310554,0.364751945
ENSG00000008282.8,SYPL1,6856,7,-1,106090505,106112589,-0.310043968,7.357792791,6.344741049,0.020246445,0.107794313
ENSG00000008283.16,CYB561,1534,17,-1,63432304,63446354,0.06335215,6.995710318,0.645260589,0.431109781,0.633473192
ENSG00000008294.21,SPAG9,9043,17,-1,50962174,51120868,-0.201389599,6.524868779,4.515265789,0.046044829,0.176350257
ENSG00000008300.17,CELSR3,1951,3,-1,48636463,48662886,0.327675804,4.714601331,1.905160231,0.182500593,0.389400126
ENSG00000008311.15,AASS,10157,7,-1,122064583,122144308,0.117663123,3.204128259,0.157953605,0.695192018,0.831120661
ENSG00000008323.15,PLEKHG6,55200,12,1,6310436,6328506,0.815282445,4.729033337,11.03595598,0.003346435,0.037284106
ENSG00000008324.11,SS18L2,51188,3,1,42581840,42596934,-0.514163703,4.097989681,3.409708084,0.079432799,0.241635006
ENSG00000008382.15,MPND,84954,19,1,4343527,4360086,0.364570147,4.290336548,4.273339715,0.051691702,0.1883894
ENSG00000008394.13,MGST1,4257,12,1,16347142,16609259,-0.416483081,7.073229387,4.46665032,0.047120697,0.178960379
ENSG00000008405.12,CRY1,1407,12,-1,106991364,107093549,-0.215557365,4.592091099,1.958603426,0.176745613,0.38219572
ENSG00000008441.16,NFIX,4784,19,1,12995475,13098796,0.567313362,6.143097289,9.195323697,0.006497474,0.056139178
ENSG00000008513.16,ST3GAL1,6482,8,-1,133454848,133571940,-0.218599563,5.429593311,1.525195102,0.230926575,0.444432201
ENSG00000008516.17,MMP25,64386,16,1,3046062,3060726,0.513571754,0.746761034,1.73925471,0.20190554,0.413134988
ENSG00000008517.16,IL32,9235,16,1,3065297,3082192,0.172534671,5.995363359,1.752670998,0.200243788,0.410864898
ENSG00000008710.19,PKD1,5310,16,-1,2088708,2135898,0.446014571,6.426988431,2.157279484,0.157208927,0.358200196
ENSG00000008735.14,MAPK8IP2,23542,22,1,50600793,50613981,0.593489102,4.150664003,14.48366841,0.001082642,0.018841324
ENSG00000008838.20,MED24,9862,17,-1,40019097,40061215,0.029902491,6.58742989,0.074468106,0.787693311,0.888409915
ENSG00000008853.16,RHOBTB2,23221,8,1,22987417,23020509,0.110108242,4.992872952,1.126309708,0.301016753,0.519433214
ENSG00000008869.12,HEATR5B,54497,2,-1,36968383,37084372,0.138139747,5.167338996,0.566162008,0.460417272,0.657738959
ENSG00000008952.17,SEC62,7095,3,1,169966635,169998373,-0.07075508,7.065857475,1.475896643,0.238347816,0.452380596
ENSG00000008988.9,RPS20,6224,8,-1,56067254,56074510,-0.328161251,10.29671773,0.919157637,0.348966709,0.564770115
ENSG00000009307.16,CSDE1,7812,1,-1,114716913,114758676,-0.107955985,9.201362586,2.203195245,0.153074128,0.352824865
ENSG00000009335.18,UBE3C,9690,7,1,157138916,157269370,-0.155570179,7.070704073,2.692482084,0.116212842,0.302810505
ENSG00000009413.15,REV3L,5980,6,-1,111299028,111483715,0.08247419,4.571065079,0.301680397,0.588817259,0.756424998
ENSG00000009709.12,PAX7,5081,1,1,18630846,18748866,0.2204407,2.562649306,0.306302948,0.587945563,0.756002812
ENSG00000009724.16,MASP2,10747,1,-1,11022009,11047239,0.778103254,0.443595081,3.45632537,0.077555211,0.238182557
ENSG00000009765.14,IYD,389434,6,1,150368892,150405969,0.997747174,2.137934195,3.518305005,0.079884594,0.242305003
ENSG00000009780.15,FAM76A,199870,1,1,27725961,27763116,0.140676194,3.404975814,1.64124727,0.214584276,0.427897882
ENSG00000009830.11,POMT2,29954,14,-1,77274956,77320883,-0.10423357,4.691414178,1.351628065,0.258467685,0.474391569
ENSG00000009844.16,VTA1,51534,6,1,142147162,142224685,-0.233112846,5.980608889,9.001393506,0.006988244,0.058285846
ENSG00000009950.16,MLXIPL,51085,7,-1,73593194,73624543,0.815823028,4.231587314,12.00615093,0.002402352,0.030598756
ENSG00000009954.11,BAZ1B,9031,7,-1,73440406,73522293,-0.071827304,7.041930147,0.307654638,0.585177722,0.75417929
ENSG00000010017.13,RANBP9,10048,6,-1,13621498,13711835,-0.020797194,5.612626077,0.107989686,0.745807425,0.864620537
ENSG00000010030.14,ETV7,51513,6,-1,36354091,36387800,0.913692134,1.788537718,2.753885775,0.112375562,0.296585979
ENSG00000010072.16,SPRTN,83932,1,1,231337104,231355023,-0.086052924,3.722303937,1.016722601,0.325155901,0.542193756
ENSG00000010165.20,METTL13,51603,1,1,171781660,171814023,-0.000345779,5.865129174,1.83E-05,0.99663103,0.998472218
ENSG00000010219.13,DYRK4,8798,12,1,4562208,4615302,-0.07099689,3.497420936,0.084470726,0.774273713,0.881271429
ENSG00000010244.18,ZNF207,7756,17,1,32350132,32381885,-0.150042271,7.407537816,8.993845307,0.007008161,0.058353013
ENSG00000010256.11,UQCRC1,7384,3,-1,48599002,48610976,-0.038626179,7.859976966,0.084348132,0.774432807,0.881271429
ENSG00000010270.13,STARD3NL,83930,7,1,38178245,38230670,-0.359491633,5.32923359,4.018926063,0.058500468,0.202155285
ENSG00000010278.14,CD9,928,12,1,6199715,6238271,-0.198816161,9.011693254,2.264994667,0.147714582,0.346729915
ENSG00000010292.13,NCAPD2,9918,12,1,6493356,6531955,-0.592304432,6.981482208,23.56977456,9.21E-05,0.004923877
ENSG00000010295.19,IFFO1,25900,12,-1,6538961,6556073,-0.246473409,-0.632422117,0.269064062,0.609564032,0.76929818
ENSG00000010310.9,GIPR,2696,19,1,45668221,45683722,0.074470253,3.309273246,0.058616884,0.811122499,0.900430202
ENSG00000010318.21,PHF7,51533,3,1,52410660,52423641,0.038406294,2.103934956,0.076894447,0.784352668,0.887099026
ENSG00000010319.6,SEMA3G,56920,3,-1,52433035,52445103,0.260211154,0.894216033,0.267662355,0.610491123,0.769493819
ENSG00000010322.16,NISCH,11188,3,1,52455118,52493068,0.568683917,6.310466739,7.6127661,0.01198743,0.079152297
ENSG00000010361.13,FUZ,80199,19,-1,49806866,49817376,0.200149681,3.747088966,2.233978058,0.150375659,0.34957949
ENSG00000010404.18,IDS,3423,X,-1,149476988,149521096,0.094149703,8.257424292,1.286229195,0.26994827,0.486536373
ENSG00000010438.16,PRSS3,5646,9,1,33750679,33799231,-0.300952097,6.184970818,0.75949391,0.396940798,0.606249231
ENSG00000010539.11,ZNF200,7752,16,-1,3222325,3236221,-0.224233871,3.490933913,4.858136252,0.039203443,0.158770408
ENSG00000010626.15,LRRC23,10233,12,1,6873569,6914241,0.275874399,2.962181591,1.327363448,0.262651162,0.479391755
ENSG00000010704.18,HFE,3077,6,1,26087281,26098343,0.420127595,4.519938446,9.120784513,0.006681424,0.05676378
ENSG00000010803.16,SCMH1,22955,1,-1,41027202,41242306,0.089133548,5.246705137,1.535836919,0.229363529,0.442879406
ENSG00000010810.17,FYN,2534,6,-1,111660332,111873452,-0.101590973,3.236628419,0.302783978,0.588141409,0.756002812
ENSG00000010818.10,HIVEP2,3097,6,-1,142751469,142956698,-0.00339116,5.044134071,0.000448579,0.983308933,0.991776213
ENSG00000011007.12,ELOA,6924,1,1,23743448,23762059,-0.07235823,5.856375868,1.132444836,0.29973867,0.518154938
ENSG00000011009.11,LYPLA2,11313,1,1,23791145,23795539,-0.088218692,7.004608583,0.352978331,0.558989786,0.736026586
ENSG00000011021.23,CLCN6,1185,1,1,11806096,11848079,0.298279911,4.454004972,1.683147153,0.20904498,0.421343092
ENSG00000011028.14,MRC2,9902,17,1,62627670,62693597,-0.123026541,6.219447302,0.1651714,0.688688188,0.826499456
