,ensembl_gene_id,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,gene_biotype,ERKi_1_hr.logFC,ERKi_1_hr.FDR,ERKi_12_hr.logFC,ERKi_12_hr.FDR,ERKi_4_hr.logFC,ERKi_4_hr.FDR,ERKi_24_hr.logFC,ERKi_24_hr.FDR
ENSG00000002330.13,ENSG00000002330,BAD,572,11,-1,64269830,64284704,protein_coding,0.189714726554175,0.0532318164804937,0.482734284535609,6.30648401205689e-07,0.216737318588968,0.0128489826402769,0.264998163582829,0.000367186588214327
ENSG00000002549.12,ENSG00000002549,LAP3,51056,4,1,17577198,17607972,protein_coding,0.0958348644610722,0.92573895360276,0.290119109286418,0.355524147027219,0.0498646791116382,0.921276982725935,0.561288121557857,0.0592875941280761
ENSG00000002586.20,ENSG00000002586,CD99,4267,X,1,2691187,2741309,protein_coding,0.0181815530401405,0.977878039677,0.126475600224932,0.395228312509992,0.00853573446515873,0.97235255036877,0.34326712068631,0.0143848125583592
ENSG00000002587.10,ENSG00000002587,HS3ST1,9957,4,-1,11393150,11429564,protein_coding,-0.262646373730038,0.743919181607468,-1.69444132741953,6.45074393983375e-05,-1.35390065188812,0.00274299182487735,-1.64591538804423,4.65846825637409e-05
ENSG00000002745.13,ENSG00000002745,WNT16,51384,7,1,121325367,121341104,protein_coding,0.0353512746169764,0.98732768034598,-0.622738273327204,0.270954163009983,-0.9342438530803,0.171682113750598,-0.761516483776875,0.145861953449947
ENSG00000002822.15,ENSG00000002822,MAD1L1,8379,7,-1,1815793,2233243,protein_coding,-0.0728877565859414,0.919793215535518,-0.120218843735375,0.609335967167122,-0.303362901088684,0.275218461264606,-0.230145178606862,0.279745294279484
ENSG00000002834.18,ENSG00000002834,LASP1,3927,17,1,38869859,38921770,protein_coding,-0.150739825645876,0.169823362248472,0.104743082156164,0.167646316553671,-0.193731490010189,0.0334459399096633,0.199974610368666,0.00678358224471086
ENSG00000002919.14,ENSG00000002919,SNX11,29916,17,1,48103357,48123601,protein_coding,0.0367907604164291,0.823368422188569,0.0809669392513224,0.212422185052968,0.087637731327122,0.27985450196248,0.0557400426616948,0.363968068758776
ENSG00000003056.8,ENSG00000003056,M6PR,4074,12,-1,8940361,8949761,protein_coding,-0.0104989124332099,0.974273641040426,-0.297152227034666,0.000161109232601906,-0.117036463097341,0.172901314801707,-0.259164203366183,0.000353231843374374
ENSG00000003096.14,ENSG00000003096,KLHL13,90293,X,-1,117897813,118117340,protein_coding,0.259638238389389,0.78254323352554,0.570466129079965,0.149979656833531,0.874716453799009,0.0673583378306121,1.04399680167778,0.00652916163126507
ENSG00000003137.8,ENSG00000003137,CYP26B1,56603,2,-1,72129238,72147862,protein_coding,0.116347614180877,0.955839214095516,-0.349968178757926,0.545928193310043,-0.561479884578541,0.434542860422974,-0.0460924969616557,0.936169489902494
ENSG00000003147.19,ENSG00000003147,ICA1,3382,7,-1,8113184,8262687,protein_coding,0.268130166000645,0.0401260297376783,0.121869577564951,0.20779863171993,-0.0468358059409251,0.748720730341535,0.373736927622224,0.000208624808993604
ENSG00000003249.13,ENSG00000003249,DBNDD1,79007,16,-1,90004871,90019890,protein_coding,-0.130393971181697,0.717926427254945,0.3137169529227,0.0604091624733124,0.247339870261235,0.229755378905619,0.228784053811658,0.144413538556717
ENSG00000003393.15,ENSG00000003393,ALS2,57679,2,-1,201700267,201782112,protein_coding,-0.112411447887312,0.493592866839407,0.0339068285113236,0.739434455451355,-0.00363905351220096,0.981514752471109,-0.00221286790558859,0.981917437400277
ENSG00000003400.14,ENSG00000003400,CASP10,843,2,1,201182898,201229406,protein_coding,-0.0592954424128439,0.965886803600434,1.45058152813667,0.000243289580617275,0.417738003194011,0.357511305697678,1.92972219260603,3.51852459038581e-06
ENSG00000003402.20,ENSG00000003402,CFLAR,8837,2,1,201116154,201176687,protein_coding,-0.174062391880815,0.741336747806847,-0.13947186724167,0.576881799505231,-0.231074424776,0.461532258427598,0.0337220354633878,0.889096983445335
ENSG00000003436.16,ENSG00000003436,TFPI,7035,2,-1,187464230,187565760,protein_coding,-0.0449107467191801,0.95506607859035,0.0917345426152064,0.677870990452509,-0.181755582144081,0.509047709654081,0.205532420980713,0.289695711078357
ENSG00000003509.16,ENSG00000003509,NDUFAF7,55471,2,1,37231631,37253403,protein_coding,0.0678226373678062,0.689588727444319,0.0883543356080108,0.278551591970919,0.0775061476510584,0.471470039519492,0.110803812402749,0.144989083229377
ENSG00000003756.16,ENSG00000003756,RBM5,10181,3,1,50088919,50119021,protein_coding,-0.0319080680942753,0.860985021957042,0.128514634164837,0.0582019355607034,0.0505370636432195,0.593828477983035,0.390782347047525,1.32606576435161e-06
ENSG00000003987.14,ENSG00000003987,MTMR7,9108,8,-1,17296794,17413528,protein_coding,0.173409028184302,0.804263922558429,-0.0934558149197164,0.763335675385242,0.00487437978459454,0.991244825628709,0.22495687111053,0.415118578968275
ENSG00000003989.17,ENSG00000003989,SLC7A2,6542,8,1,17497088,17570573,protein_coding,-0.239850553011887,0.8752778870848,0.028870934675237,0.947846062181188,0.0703255125048124,0.936459518381035,-0.543385251411136,0.299533790813094
ENSG00000004059.11,ENSG00000004059,ARF5,381,7,1,127588386,127591700,protein_coding,0.107871951199268,0.304110909845409,0.247806098467613,0.000707043872551472,0.132155963426782,0.107650568979148,0.203677351680484,0.00246081555845974
ENSG00000004139.14,ENSG00000004139,SARM1,23098,17,1,28364356,28404049,protein_coding,-0.238420933177718,0.493592866839407,0.14865413625082,0.472913573865688,0.0150175478554637,0.964695630676945,0.608170791652827,0.00236129788810186
ENSG00000004142.12,ENSG00000004142,POLDIP2,26073,17,-1,28346633,28357527,protein_coding,0.00386316588096196,0.9906273781223,-0.284349105655723,0.000440398316360459,-0.0446460967774392,0.674212928748986,-0.53785021677825,4.87304724268248e-08
ENSG00000004399.12,ENSG00000004399,PLXND1,23129,3,-1,129555214,129606676,protein_coding,-0.153887267413446,0.791495076789155,-0.667432120342271,0.00823201624994801,-0.39077387650513,0.191546660298085,-0.457304212288349,0.050621576042075
ENSG00000004455.16,ENSG00000004455,AK2,204,1,-1,33007940,33080996,protein_coding,0.0451690637708909,0.926329263428107,-0.436613686028912,0.00418206758879553,-0.0870262711142198,0.680139372251218,-0.773537160309399,4.82262631205362e-06
ENSG00000004478.8,ENSG00000004478,FKBP4,2288,12,1,2794970,2805423,protein_coding,0.0689076350567098,0.832145581241105,-0.261638795097547,0.0394262960367403,-0.175599644600804,0.266174816399002,-0.694625667554311,2.79728827395999e-06
ENSG00000004487.16,ENSG00000004487,KDM1A,23028,1,1,23019443,23083689,protein_coding,0.0861120474053302,0.769509609538828,0.0224599275327372,0.874121621991058,0.0369392598173563,0.857392616699937,-0.128987107559262,0.281121905822535
ENSG00000004534.15,ENSG00000004534,RBM6,10180,3,1,49940007,50100045,protein_coding,0.121614638774228,0.342222551176914,-0.0237021201804321,0.789647112156493,-0.256678090381106,0.00879979958272342,0.140541234689225,0.0660401374253924
ENSG00000004660.14,ENSG00000004660,CAMKK1,84254,17,-1,3860315,3894891,protein_coding,-0.303350841491128,0.657964816351081,-0.421595573472119,0.223445614680986,-0.0339121951508747,0.952445267668511,-0.783177744825053,0.0181771197476992
ENSG00000004700.16,ENSG00000004700,RECQL,5965,12,-1,21468910,21501669,protein_coding,0.0302600588973278,0.955846644621585,-0.0705820209474047,0.638936430254094,0.00405336552303589,0.985998036374795,-0.38413670320606,0.00563283332044399
ENSG00000004766.17,ENSG00000004766,VPS50,55610,7,1,93232340,93361123,protein_coding,0.153794178170354,0.0971224667463361,0.422164119056349,1.3248055682713e-06,0.191578262351438,0.0173478603572488,0.581293502299912,3.84399305028527e-09
ENSG00000004777.18,ENSG00000004777,ARHGAP33,115703,19,1,35774532,35788822,protein_coding,-0.0100147817225359,0.991736974659893,0.832579576826745,0.00167390889387752,0.247945363849276,0.448872909770229,0.35864464763288,0.125808949298523
ENSG00000004779.10,ENSG00000004779,NDUFAB1,4706,16,-1,23581014,23596316,protein_coding,0.156572946757646,0.206694939633014,-0.104307217601797,0.216861018826774,0.100493890906988,0.350628345671625,-0.284852257679254,0.000826877187106665
ENSG00000004799.8,ENSG00000004799,PDK4,5166,7,-1,95583499,95596516,protein_coding,0.291136120060943,0.748003327692477,1.1914824718534,0.00507825978952216,0.577361717047846,0.251444837022337,1.59569324531116,0.000275500816958626
ENSG00000004838.14,ENSG00000004838,ZMYND10,51364,3,-1,50341110,50345732,protein_coding,0.456088660131677,0.330087690117685,1.44332982087631,5.1228824559793e-06,0.600477581059912,0.0464254646190407,1.49992904183798,8.86538090734766e-07
ENSG00000004864.13,ENSG00000004864,SLC25A13,10165,7,-1,96120220,96322147,protein_coding,-0.0524178194151822,0.83887505162836,-0.262306760711339,0.00988715923311987,-0.0860757052340554,0.521874559898557,-0.357620187040437,0.000463086426441497
ENSG00000004866.20,ENSG00000004866,ST7,7982,7,1,116953238,117230176,protein_coding,0.0233040058408266,0.937550722700577,-0.0517909477007076,0.552626759945439,0.0446106644777636,0.71665563715608,-0.129366618217281,0.0993686840178024
ENSG00000004897.12,ENSG00000004897,CDC27,996,17,-1,47117703,47189422,protein_coding,-0.068274613194005,0.740610392516052,0.120562950347089,0.191915097522532,0.00862682633551637,0.956141948946808,-0.207863282151253,0.0188004977126717
ENSG00000004961.15,ENSG00000004961,HCCS,3052,X,1,11111301,11123086,protein_coding,0.0187898699383427,0.946532624569043,-0.269045135234476,0.000845843104345827,0.0973743388550388,0.304544891737345,-0.356700835537816,1.79162686454523e-05
ENSG00000004975.12,ENSG00000004975,DVL2,1856,17,-1,7225342,7234517,protein_coding,-0.0259655982440346,0.919793215535518,0.385725727011378,3.38062330990266e-05,0.105182077774343,0.292112539762528,0.47312631071231,8.08013989501372e-07
ENSG00000005001.10,ENSG00000005001,PRSS22,64063,16,-1,2852730,2858170,protein_coding,-0.0639419940549475,0.974270508505393,-0.241509792602366,0.603000355817656,-0.628643357187396,0.239376020640142,0.11523085666768,0.795927320038948
ENSG00000005007.12,ENSG00000005007,UPF1,5976,19,1,18831959,18868230,protein_coding,-0.243758963089948,0.0148708026536508,-0.248677829102544,0.00162599789821528,-0.178439420332337,0.0468189479201616,-0.29045510175521,0.000194574217257344
ENSG00000005020.13,ENSG00000005020,SKAP2,8935,7,-1,26667068,26995239,protein_coding,0.309761313923327,0.0568378618214974,0.154066754817144,0.19784470882135,-0.0263670631467637,0.892002527720836,0.769207491811016,2.82653553624476e-07
ENSG00000005022.6,ENSG00000005022,SLC25A5,292,X,1,119468422,119471396,protein_coding,0.0228054532721035,0.953312919829863,-0.0910572077814484,0.37503831052311,0.0197221280694052,0.903561298544208,-0.382202490047126,0.000261658300318942
ENSG00000005059.16,ENSG00000005059,MCUB,55013,4,1,109560209,109688719,protein_coding,0.0529474107385225,0.926329263428107,-0.0703030583778886,0.705037931962553,-0.0141399854668054,0.962338040388946,-0.327992465626702,0.0448693053299658
ENSG00000005073.5,ENSG00000005073,HOXA11,3207,7,-1,27181157,27185232,protein_coding,0.192476695972356,0.688594492234,-0.586115539975447,0.0125957539133739,-0.116800470125659,0.734234158167737,-0.643366442915724,0.0044854260722971
ENSG00000005075.15,ENSG00000005075,POLR2J,5439,7,-1,102473118,102478907,protein_coding,0.0648254584661604,0.563821881176752,0.0418275018170149,0.510566000607044,0.148972616574282,0.0421833524168101,-0.184880434889838,0.00225925347387682
ENSG00000005100.13,ENSG00000005100,DHX33,56919,17,-1,5440917,5468982,protein_coding,-0.0833825668387251,0.8302596835157,-0.790619150225274,1.56505694300508e-05,-0.267127055059866,0.147308183754844,-0.948446447744776,4.47885625443856e-07
ENSG00000005108.16,ENSG00000005108,THSD7A,221981,7,-1,11370365,11832198,protein_coding,-0.233514842344196,0.81747029333763,0.625131415916721,0.123142233422881,0.024232252351233,0.971348878388508,1.20966509463096,0.00322661678239484
ENSG00000005156.11,ENSG00000005156,LIG3,3980,17,1,34980512,35009743,protein_coding,0.0578981563541049,0.838820851253034,-0.256635644071178,0.020420083879978,-0.0844970737118219,0.577446832533562,-0.307877375984655,0.00420657338344436
ENSG00000005175.10,ENSG00000005175,RPAP3,79657,12,-1,47661249,47706030,protein_coding,0.139958526096614,0.321742183065087,-0.114098764735149,0.207310949271343,-0.0123636150602622,0.934394425329369,-0.322907541657883,0.000484372309182391
ENSG00000005187.12,ENSG00000005187,ACSM3,6296,16,1,20610243,20797581,protein_coding,0.246030900697017,0.845746985410322,1.59567636041642,0.00188809608866353,0.853652628895775,0.148744958543604,1.72405879393355,0.000681846703513672
ENSG00000005189.19,ENSG00000005189,REXO5,81691,16,1,20806429,20849665,protein_coding,-0.114061506900369,0.797604150952687,0.204509887433368,0.270562516539864,0.22128072592133,0.3475198453592,-0.648268109929259,0.000613458359882183
ENSG00000005194.15,ENSG00000005194,CIAPIN1,57019,16,-1,57428187,57447420,protein_coding,-0.00011497270220436,0.999435754752509,-0.292904995710546,0.00092077962537339,0.0474699626827191,0.691904598397759,-0.462880957559939,1.89686037749033e-06
ENSG00000005206.17,ENSG00000005206,SPPL2B,56928,19,1,2328615,2355095,protein_coding,0.0523399274930968,0.82375612979126,0.375028294431777,0.000248964900369815,0.119980149600929,0.304425956628268,0.472444912418284,6.86501427101411e-06
ENSG00000005238.19,ENSG00000005238,FAM214B,80256,9,-1,35104112,35116341,protein_coding,-0.299585790866362,0.50898434759213,-0.171542466123311,0.524304696724532,-0.710899649915433,0.0224425613637891,0.220258760922548,0.371408540544288
ENSG00000005249.13,ENSG00000005249,PRKAR2B,5577,7,1,107044705,107161811,protein_coding,0.241830519999863,0.847545189774343,0.294145657236376,0.5614121559366,0.345588037074755,0.85524205354577,0.794747417898487,0.0885337768091307
ENSG00000005302.18,ENSG00000005302,MSL3,10943,X,1,11758159,11775772,protein_coding,0.0368675654142336,0.890356324806736,-0.0860190938498538,0.353449903120579,-0.193597655956589,0.0791235144215354,0.0173406032042269,0.849791997044474
ENSG00000005339.14,ENSG00000005339,CREBBP,1387,16,-1,3725054,3880713,protein_coding,-0.226188667139858,0.00198575282201499,-0.0982126356067855,0.0689723963464611,-0.154733852971857,0.0174957465524172,-0.0574468968393789,0.260043839662578
ENSG00000005436.13,ENSG00000005436,GCFC2,6936,2,-1,75652000,75710985,protein_coding,-0.107619059049872,0.704177452540905,-0.673704022155389,2.14447119245668e-05,-0.0373916926210219,0.861934190958199,-0.888647155906567,1.68420644034964e-07
ENSG00000005448.16,ENSG00000005448,WDR54,84058,2,1,74421678,74425755,protein_coding,0.036454187958398,0.906610855340135,0.12762234378339,0.207247080615486,0.0687725647342311,0.62920879074088,-0.359152354446319,0.000510761532467995
ENSG00000005469.11,ENSG00000005469,CROT,54677,7,1,87345664,87399794,protein_coding,0.0135714622881161,0.975258009053777,0.593586241100403,2.0170051084588e-06,0.455676624348793,0.00030249204813453,0.621586761862615,2.93642288321839e-07
ENSG00000005483.20,ENSG00000005483,KMT2E,55904,7,1,105014190,105115019,protein_coding,-0.166924747605063,0.122235355325122,0.418159881137291,8.76296987778426e-06,0.258116389469332,0.00587242562067159,0.58275752908675,2.59196270874427e-08
ENSG00000005486.17,ENSG00000005486,RHBDD2,57414,7,1,75842602,75888926,protein_coding,-0.0770276392115103,0.621819960499716,0.207941794935381,0.0111795432851397,0.125035078778479,0.205536730529392,0.0678180598260815,0.374447559328636
ENSG00000005700.15,ENSG00000005700,IBTK,25998,6,-1,82169986,82247754,protein_coding,0.0735577508875271,0.619233988825492,0.146299780736281,0.0557215312335917,0.167807317307292,0.0687413926118339,0.146284397759361,0.0435405032570836
ENSG00000005801.18,ENSG00000005801,ZNF195,7748,11,-1,3339261,3379222,protein_coding,0.0845621484498754,0.675594053681849,-0.292278597379921,0.00382748415100392,-0.14841613968635,0.215165686664131,-0.0412995746987074,0.664977489011727
ENSG00000005810.18,ENSG00000005810,MYCBP2,23077,13,-1,77042474,77327094,protein_coding,-0.110333315661856,0.678019642829366,-0.255792309782611,0.0458557929810535,-0.342251188829648,0.0256812216456419,-0.0761711151042654,0.539114383613262
ENSG00000005812.11,ENSG00000005812,FBXL3,26224,13,-1,76992598,77027195,protein_coding,0.102926703228957,0.443287522673028,0.186971958634035,0.020743204584781,0.232292435273992,0.0159183443461681,0.218817432694219,0.00518851792745282
ENSG00000005882.11,ENSG00000005882,PDK2,5164,17,1,50094737,50112152,protein_coding,0.115491957624983,0.822956143559727,1.21377901376499,3.1984403313647e-06,0.396781897501647,0.106723907301257,1.42581121977918,9.64764351386243e-08
ENSG00000005884.18,ENSG00000005884,ITGA3,3675,17,1,50055968,50090481,protein_coding,-0.232962892040393,0.677528471262234,-0.786958461822503,0.00529072230613296,-0.638356640590517,0.0500252963493001,-0.897486644434299,0.00118503670996559
ENSG00000005889.15,ENSG00000005889,ZFX,7543,X,1,24149173,24216255,protein_coding,0.00982250686489961,0.976905391644099,0.00777209592643993,0.928384116056401,0.0534839145777773,0.612397358196756,0.0584460072808371,0.41386210009084
ENSG00000005893.15,ENSG00000005893,LAMP2,3920,X,-1,120426148,120469365,protein_coding,0.0494583223274852,0.762925452988444,0.295222104520101,0.000200537678827721,0.1435467878721,0.0963843998130971,0.469508995896263,2.0001026421828e-07
ENSG00000005961.18,ENSG00000005961,ITGA2B,3674,17,-1,44372180,44389649,protein_coding,0.147548243488972,0.942905231866267,1.21665358450104,0.0334500155605126,0.675916958186165,0.348224400773362,1.47371391783495,0.0076130692408798
ENSG00000006007.12,ENSG00000006007,GDE1,51573,16,-1,19501693,19522123,protein_coding,0.084840629442542,0.627914326917735,0.245061817268005,0.00762245044339099,0.105784835164157,0.355628829400967,0.511721652839081,1.43999558831802e-06
ENSG00000006015.17,ENSG00000006015,REX1BD,55049,19,1,18588685,18592337,protein_coding,0.0344398406949452,0.928220829223137,0.288011539631414,0.0127974943269645,0.138331001608946,0.341097899275766,-0.038728147600143,0.731313849376719
ENSG00000006016.11,ENSG00000006016,CRLF1,9244,19,-1,18572220,18607741,protein_coding,0.131232600494405,0.915218011274326,-0.291757293917101,0.464642203670582,0.0929705900176043,0.879459544177227,-0.540697589765658,0.143932369829398
ENSG00000006025.12,ENSG00000006025,OSBPL7,114881,17,-1,47807372,47821834,protein_coding,0.205328753762721,0.555813739141053,0.764003239070436,0.000301596230659276,0.177256687540013,0.485581223745993,1.25717211558889,2.38736542408271e-07
ENSG00000006042.12,ENSG00000006042,TMEM98,26022,17,1,32927910,32945106,protein_coding,-0.201971444458091,0.657083740959537,-0.259384913467374,0.253550360695313,0.0363568700358755,0.922921646796952,-0.480080745426533,0.0267240733107835
ENSG00000006047.13,ENSG00000006047,YBX2,51087,17,-1,7288263,7294639,protein_coding,-0.346711082923979,0.831718614518312,0.45936360860345,0.488403788864572,0.353416366464503,0.700560605278506,0.787320502681507,0.191246779467297
ENSG00000006062.16,ENSG00000006062,MAP3K14,9020,17,-1,45263119,45317029,protein_coding,-0.340396211760874,0.31249195597024,-0.220706672010169,0.314538043027396,-0.0875114549834583,0.796896895132059,-0.0341834338623006,0.875841190847995
ENSG00000006118.14,ENSG00000006118,TMEM132A,54972,11,1,60924460,60937159,protein_coding,-0.125814515444338,0.637646705226222,-0.261176147226725,0.053547288648069,-0.191374219003278,0.253540519931803,-0.088014383167685,0.499491218735081
ENSG00000006125.18,ENSG00000006125,AP2B1,163,17,1,35578046,35726413,protein_coding,-0.0107119998719295,0.970302177376445,-0.0682577244577265,0.304781012072456,-0.172162810609047,0.0289547088965574,-0.124723995149252,0.0452580677657585
ENSG00000006194.10,ENSG00000006194,ZNF263,10127,16,1,3263800,3301401,protein_coding,-0.214879100265522,0.0350145006088011,-0.226605811389081,0.00386637628604465,-0.177619899682794,0.0505327355780821,-0.239394849439739,0.00152097528931201
ENSG00000006210.7,ENSG00000006210,CX3CL1,6376,16,1,57372477,57385044,protein_coding,-0.576417767873581,0.752634854777951,0.666210561153274,0.435163114000026,0.0238762257221388,0.984513974920297,1.59291422798817,0.0546766908709711
ENSG00000006282.21,ENSG00000006282,SPATA20,64847,17,1,50543058,50555852,protein_coding,0.0207832752558656,0.971141887174365,0.16081122751019,0.216158445941741,-0.0128052241182288,0.953110408944576,0.310610969476191,0.0128909751355429
ENSG00000006327.13,ENSG00000006327,TNFRSF12A,51330,16,1,3018445,3022383,protein_coding,-0.179777011041799,0.730498312730567,-0.939076902026356,0.00036911687517551,-0.379955367127237,0.192722758422764,-1.39563678774406,1.43394114734448e-06
ENSG00000006432.15,ENSG00000006432,MAP3K9,4293,14,-1,70722526,70809534,protein_coding,-0.374620021695024,0.00090856200590094,-0.22299508979976,0.00853936271689025,-0.227497658330511,0.0219796815559051,-0.0394656838535264,0.625024321849387
ENSG00000006451.8,ENSG00000006451,RALA,5898,7,1,39623565,39708120,protein_coding,0.0730336415006021,0.82375612979126,-0.0766581872497398,0.571503738549201,0.0922107758533256,0.611138108029127,-0.143037469515628,0.24017345058594
ENSG00000006453.14,ENSG00000006453,BAIAP2L1,55971,7,-1,98291650,98401090,protein_coding,0.190624309221738,0.502325737575797,-0.611471988236633,0.00052360359079771,-0.476996597462084,0.0143935168633105,-0.211920381506365,0.164634373964104
ENSG00000006459.11,ENSG00000006459,KDM7A,80853,7,-1,140084746,140176983,protein_coding,-0.372457055232952,0.48125265421701,-0.209184773173293,0.513708491893218,-0.551712463743807,0.140154148029256,0.521337215246118,0.0752204273599136
ENSG00000006468.14,ENSG00000006468,ETV1,2115,7,-1,13891229,13991425,protein_coding,0.15738346827425,0.951601121060178,-2.98702156431634,0.000335710974899109,-1.46061802717358,0.0792919688025486,-2.58442815740276,0.000688785210106283
ENSG00000006530.17,ENSG00000006530,AGK,55750,7,1,141551278,141655244,protein_coding,0.0135645273322409,0.950669017977824,-0.255701047112097,7.00140271745776e-05,0.0500480913190452,0.507827511111561,-0.299693523688587,3.67657286302025e-06
ENSG00000006534.16,ENSG00000006534,ALDH3B1,221,11,1,68008578,68029282,protein_coding,0.0317835310250062,0.961227374665703,1.113122880114,5.81217645667018e-07,0.253408438784515,0.206813975591876,1.62385045021653,7.43207777800736e-10
ENSG00000006555.11,ENSG00000006555,TTC22,55001,1,-1,54779712,54801323,protein_coding,0.0277989624534514,0.952209547822429,0.530487944176187,2.32953694367987e-05,0.176852549140773,0.171682113750598,0.797977289927806,2.77770000350643e-08
ENSG00000006576.16,ENSG00000006576,PHTF2,57157,7,1,77798792,77957503,protein_coding,-0.254332017932654,0.134574820951045,0.107249519700951,0.381015212309435,0.0588974521868183,0.743838072989098,-0.217486679401135,0.0558284408098522
ENSG00000006607.14,ENSG00000006607,FARP2,9855,2,1,241356285,241494841,protein_coding,-0.114459910925735,0.718416794400639,0.356598202560068,0.0165478343397373,0.0294129624557774,0.900507084242904,0.432586197100292,0.00290473433630504
ENSG00000006625.18,ENSG00000006625,GGCT,79017,7,-1,30496621,30504841,protein_coding,0.0669640914452219,0.892090651222784,-0.432316715762172,0.0115747766858723,0.0793014066611046,0.753806695237274,-0.831085736964279,1.15391392289531e-05
ENSG00000006634.8,ENSG00000006634,DBF4,10926,7,1,87876216,87909553,protein_coding,-0.000662082305513343,0.998561525264368,-0.0673635026724601,0.683874833845162,0.0441939099126728,0.859292321991593,-0.815505169676543,4.67744890884374e-06
ENSG00000006638.11,ENSG00000006638,TBXA2R,6915,19,-1,3594507,3606875,protein_coding,-0.116494943852086,0.92135639511431,-0.0918079754985689,0.811042614790731,0.0308410003551511,0.963053375910864,0.116268609775067,0.753424019479791
