,ensembl_gene_id,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,gene_biotype,logFC,logCPM,F,PValue,FDR
ENSG00000001630.17,ENSG00000001630,CYP51A1,1595,7,-1,92084987,92134803,protein_coding,-0.673219203,6.866458919,74.42459333,2.37E-11,2.59E-09
ENSG00000001631.15,ENSG00000001631,KRIT1,889,7,-1,92197498,92246166,protein_coding,0.091299651,4.89682748,1.612378538,0.210230496,0.325756905
ENSG00000002016.17,ENSG00000002016,RAD52,5893,12,-1,911736,990053,protein_coding,0.054191379,2.578039923,0.192573211,0.662736795,0.764789328
ENSG00000002330.13,ENSG00000002330,BAD,572,11,-1,64269830,64284704,protein_coding,0.252069603,5.788346094,3.591983166,0.064041067,0.126839167
ENSG00000002549.12,ENSG00000002549,LAP3,51056,4,1,17577198,17607972,protein_coding,-0.216048691,6.479751571,21.29607677,2.92E-05,0.000192029
ENSG00000002586.20,ENSG00000002586,CD99,4267,X,1,2691187,2741309,protein_coding,0.219938394,7.608951853,4.466294305,0.039751722,0.086003164
ENSG00000002587.10,ENSG00000002587,HS3ST1,9957,4,-1,11393150,11429564,protein_coding,-0.956376948,4.665878092,66.18174036,1.98E-09,7.13E-08
ENSG00000002726.20,ENSG00000002726,AOC1,26,7,1,150824627,150861504,protein_coding,0.397770155,4.979635268,3.059227264,0.086620826,0.161974667
ENSG00000002746.15,ENSG00000002746,HECW1,23072,7,1,43112629,43566001,protein_coding,0.914719044,0.567179801,6.302966882,0.015447709,0.03956658
ENSG00000002822.15,ENSG00000002822,MAD1L1,8379,7,-1,1815793,2233243,protein_coding,0.021688215,4.761680769,0.065336852,0.799334875,0.870039502
ENSG00000002834.18,ENSG00000002834,LASP1,3927,17,1,38869859,38921770,protein_coding,0.204872396,8.696118092,21.53790578,2.67E-05,0.000178064
ENSG00000002919.14,ENSG00000002919,SNX11,29916,17,1,48103357,48123601,protein_coding,-0.01626344,4.694381423,0.06587979,0.798521283,0.869529643
ENSG00000002933.9,ENSG00000002933,TMEM176A,55365,7,1,150800403,150805118,protein_coding,0.615732829,5.819972166,9.004998701,0.005558847,0.01689478
ENSG00000003056.8,ENSG00000003056,M6PR,4074,12,-1,8940361,8949761,protein_coding,-0.25016696,7.163655525,27.20436635,3.78E-06,3.37E-05
ENSG00000003096.14,ENSG00000003096,KLHL13,90293,X,-1,117897813,118117340,protein_coding,0.256198964,3.020311348,2.585785987,0.114333075,0.201684983
ENSG00000003137.8,ENSG00000003137,CYP26B1,56603,2,-1,72129238,72147862,protein_coding,-0.507531142,2.663392124,3.647918438,0.062076302,0.123675165
ENSG00000003147.19,ENSG00000003147,ICA1,3382,7,-1,8113184,8262687,protein_coding,0.049159873,4.867056322,0.238988105,0.62714642,0.735328485
ENSG00000003249.13,ENSG00000003249,DBNDD1,79007,16,-1,90004871,90019890,protein_coding,0.386060602,5.243052186,22.9071648,1.64E-05,0.000117621
ENSG00000003393.15,ENSG00000003393,ALS2,57679,2,-1,201700267,201782112,protein_coding,0.083338698,4.903682094,2.08092012,0.155592367,0.257662796
ENSG00000003400.14,ENSG00000003400,CASP10,843,2,1,201182872,201229428,protein_coding,0.374032176,4.109812397,9.009407199,0.004239187,0.013392227
ENSG00000003402.20,ENSG00000003402,CFLAR,8837,2,1,201116154,201176687,protein_coding,0.145643719,7.216619928,3.990822746,0.051386883,0.106000202
ENSG00000003436.16,ENSG00000003436,TFPI,7035,2,-1,187464230,187565760,protein_coding,-0.108703089,7.290247458,1.052381124,0.310060477,0.43879547
ENSG00000003509.16,ENSG00000003509,NDUFAF7,55471,2,1,37231631,37253403,protein_coding,-0.011646489,3.696726966,0.045401963,0.832161804,0.893948441
ENSG00000003756.16,ENSG00000003756,RBM5,10181,3,1,50088919,50119021,protein_coding,0.255890252,6.476565946,6.47540024,0.014181057,0.036776827
ENSG00000003987.14,ENSG00000003987,MTMR7,9108,8,-1,17296794,17413528,protein_coding,0.211936596,0.488801177,1.119103469,0.29536427,0.423176076
ENSG00000004059.11,ENSG00000004059,ARF5,381,7,1,127588386,127591700,protein_coding,0.307462125,7.29713448,9.378125417,0.003580536,0.01168075
ENSG00000004139.14,ENSG00000004139,SARM1,23098,17,1,28364356,28404049,protein_coding,0.786123603,3.48245726,33.08002275,5.85E-07,6.98E-06
ENSG00000004142.12,ENSG00000004142,POLDIP2,26073,17,-1,28346633,28357527,protein_coding,-0.071281054,7.237204613,1.130894457,0.292863008,0.42078557
ENSG00000004399.12,ENSG00000004399,PLXND1,23129,3,-1,129555214,129606676,protein_coding,-0.251310699,6.350523175,3.18413144,0.08062691,0.152620078
ENSG00000004455.16,ENSG00000004455,AK2,204,1,-1,33007986,33080996,protein_coding,-0.427431455,7.362054711,35.27727896,3.02E-07,4.05E-06
ENSG00000004478.8,ENSG00000004478,FKBP4,2288,12,1,2794970,2805423,protein_coding,-0.457810002,7.319762958,33.54956098,5.07E-07,6.15E-06
ENSG00000004487.16,ENSG00000004487,KDM1A,23028,1,1,23019443,23083689,protein_coding,0.031920168,7.34024813,0.464074991,0.498973043,0.625806972
ENSG00000004534.15,ENSG00000004534,RBM6,10180,3,1,49940007,50100045,protein_coding,0.020146453,5.828260525,0.063034836,0.802825129,0.872945955
ENSG00000004660.14,ENSG00000004660,CAMKK1,84254,17,-1,3860315,3894891,protein_coding,0.153099766,3.921795502,2.961658615,0.091649556,0.169251373
ENSG00000004700.16,ENSG00000004700,RECQL,5965,12,-1,21468910,21501669,protein_coding,-0.252518115,5.797800599,22.76004227,1.73E-05,0.00012278
ENSG00000004766.17,ENSG00000004766,VPS50,55610,7,1,93232340,93361123,protein_coding,0.205269069,4.211459376,11.90206259,0.001172041,0.004513264
ENSG00000004777.18,ENSG00000004777,ARHGAP33,115703,19,1,35774532,35788822,protein_coding,0.031443628,3.224805422,0.033118626,0.85635456,0.910785308
ENSG00000004779.10,ENSG00000004779,NDUFAB1,4706,16,-1,23581014,23596316,protein_coding,-0.275262486,5.901452456,6.348353686,0.015103019,0.038853641
ENSG00000004799.8,ENSG00000004799,PDK4,5166,7,-1,95583499,95596516,protein_coding,0.6980913,5.557577649,5.761321896,0.020276661,0.049461541
ENSG00000004838.14,ENSG00000004838,ZMYND10,51364,3,-1,50341110,50345732,protein_coding,1.102646818,3.434637978,34.55897688,3.74E-07,4.81E-06
ENSG00000004864.13,ENSG00000004864,SLC25A13,10165,7,-1,96120220,96322147,protein_coding,-0.319424921,5.707887131,22.37529188,1.98E-05,0.000137884
ENSG00000004866.20,ENSG00000004866,ST7,7982,7,1,116953238,117230176,protein_coding,-0.155079477,4.571707576,7.113809489,0.010373268,0.028388444
ENSG00000004897.12,ENSG00000004897,CDC27,996,17,-1,47117703,47189422,protein_coding,-0.340786805,5.966362731,60.53657921,4.49E-10,2.30E-08
ENSG00000004961.15,ENSG00000004961,HCCS,3052,X,1,11111301,11123086,protein_coding,-0.170422503,4.92339987,7.588306496,0.008254397,0.023442278
ENSG00000004975.12,ENSG00000004975,DVL2,1856,17,-1,7225342,7234517,protein_coding,0.169972861,5.723011463,17.42270157,0.000123939,0.000664595
ENSG00000005001.10,ENSG00000005001,PRSS22,64063,16,-1,2852730,2858170,protein_coding,0.114928051,3.998342895,0.173650441,0.678730549,0.778217611
ENSG00000005007.12,ENSG00000005007,UPF1,5976,19,1,18831959,18868230,protein_coding,-0.005232253,6.907869166,0.003258622,0.954713087,0.973946174
ENSG00000005020.13,ENSG00000005020,SKAP2,8935,7,-1,26667068,26995239,protein_coding,0.189464945,5.994353454,6.224395715,0.016064416,0.040928255
ENSG00000005022.6,ENSG00000005022,SLC25A5,292,X,1,119468422,119471396,protein_coding,-0.267198967,8.955469279,8.040990293,0.006656964,0.019625585
ENSG00000005059.16,ENSG00000005059,MCUB,55013,4,1,109560209,109688719,protein_coding,-0.319661001,4.550457649,6.343667358,0.015138226,0.038914487
ENSG00000005073.5,ENSG00000005073,HOXA11,3207,7,-1,27181157,27185232,protein_coding,-0.271680921,3.529136678,2.60284616,0.113922635,0.201171722
ENSG00000005075.15,ENSG00000005075,POLR2J,5439,7,-1,102473128,102478922,protein_coding,-0.010722813,5.740030929,0.006542973,0.93586415,0.963032093
ENSG00000005100.13,ENSG00000005100,DHX33,56919,17,-1,5440917,5468982,protein_coding,-0.333940095,5.306830522,22.1696976,2.13E-05,0.000146466
ENSG00000005108.16,ENSG00000005108,THSD7A,221981,7,-1,11370365,11832198,protein_coding,0.884613188,4.045804832,7.744370295,0.007662086,0.022001343
ENSG00000005156.11,ENSG00000005156,LIG3,3980,17,1,34980512,35009743,protein_coding,-0.149310758,5.05524414,6.057740852,0.017461218,0.04382385
ENSG00000005175.10,ENSG00000005175,RPAP3,79657,12,-1,47661249,47706030,protein_coding,-0.197889164,4.92766708,17.19463066,0.000135375,0.000714818
ENSG00000005187.12,ENSG00000005187,ACSM3,6296,16,1,20610243,20797581,protein_coding,0.186225136,2.643220948,1.123913316,0.29434058,0.422188012
ENSG00000005189.19,ENSG00000005189,REXO5,81691,16,1,20806429,20849665,protein_coding,-0.186023886,2.71523336,2.874013626,0.096446731,0.176321588
ENSG00000005194.15,ENSG00000005194,CIAPIN1,57019,16,-1,57428187,57447420,protein_coding,-0.094348423,5.790323907,2.173449393,0.146887676,0.246244804
ENSG00000005206.17,ENSG00000005206,SPPL2B,56928,19,1,2328615,2355095,protein_coding,0.400832509,6.185019321,15.51891132,0.000261858,0.001249902
ENSG00000005238.19,ENSG00000005238,ATOSB,80256,9,-1,35104112,35116341,protein_coding,0.020876349,4.924713033,0.083967693,0.77322892,0.850236955
ENSG00000005243.10,ENSG00000005243,COPZ2,51226,17,-1,48026167,48038030,protein_coding,0.724680959,1.570698647,3.632115965,0.062624567,0.124632266
ENSG00000005249.13,ENSG00000005249,PRKAR2B,5577,7,1,107044705,107161811,protein_coding,0.367184016,2.740401026,1.956307802,0.16828571,0.273669988
ENSG00000005302.18,ENSG00000005302,MSL3,10943,X,1,11758159,11775772,protein_coding,0.016322339,4.731015078,0.094354863,0.760030298,0.840928434
ENSG00000005339.14,ENSG00000005339,CREBBP,1387,16,-1,3725054,3880713,protein_coding,0.145783508,6.226865973,1.666020594,0.202925605,0.316953606
ENSG00000005379.17,ENSG00000005379,TSPOAP1,9256,17,-1,58301228,58328795,protein_coding,1.050189573,4.836400382,21.15612558,3.07E-05,0.000199959
ENSG00000005436.13,ENSG00000005436,GCFC2,6936,2,-1,75652000,75710985,protein_coding,-0.10009679,4.338992888,3.15945545,0.081773461,0.154573186
ENSG00000005448.16,ENSG00000005448,WDR54,84058,2,1,74421678,74425755,protein_coding,-0.036155419,5.216809216,0.106696991,0.74534509,0.829735402
ENSG00000005469.11,ENSG00000005469,CROT,54677,7,1,87345664,87399794,protein_coding,0.431340612,3.78369987,37.61712821,1.52E-07,2.29E-06
ENSG00000005483.20,ENSG00000005483,KMT2E,55904,7,1,104940943,105115019,protein_coding,0.136421728,5.902564999,1.806897915,0.18514928,0.295038542
ENSG00000005486.17,ENSG00000005486,RHBDD2,57414,7,1,75842602,75888926,protein_coding,0.277511604,6.802418869,24.10641313,1.08E-05,8.24E-05
ENSG00000005513.10,ENSG00000005513,SOX8,30812,16,1,981770,986979,protein_coding,0.303086675,0.809841541,0.908557876,0.369826071,0.501061876
ENSG00000005700.15,ENSG00000005700,IBTK,25998,6,-1,82169986,82247754,protein_coding,-0.180736299,5.869845388,13.21950385,0.000670408,0.00282288
ENSG00000005801.18,ENSG00000005801,ZNF195,7748,11,-1,3339261,3379222,protein_coding,-0.112665192,4.075672893,4.637435134,0.036292825,0.079814589
ENSG00000005810.18,ENSG00000005810,MYCBP2,23077,13,-1,77042474,77327094,protein_coding,-0.103488981,5.153233241,1.625862881,0.208364636,0.323461063
ENSG00000005812.11,ENSG00000005812,FBXL3,26224,13,-1,76992598,77027195,protein_coding,0.013788328,5.526206139,0.082600389,0.775031156,0.851731228
ENSG00000005882.11,ENSG00000005882,PDK2,5164,17,1,50094737,50112152,protein_coding,0.901227077,5.158542077,142.483714,4.99E-16,1.29E-12
ENSG00000005884.18,ENSG00000005884,ITGA3,3675,17,1,50055968,50090481,protein_coding,-0.334972681,9.300508889,14.22123131,0.000442806,0.001980278
ENSG00000005889.15,ENSG00000005889,ZFX,7543,X,1,24149173,24216255,protein_coding,-0.031480586,4.448665635,0.365796388,0.548130422,0.670174891
ENSG00000005893.15,ENSG00000005893,LAMP2,3920,X,-1,120426148,120469365,protein_coding,0.150988664,7.195523284,8.739109557,0.004802672,0.014882835
ENSG00000006007.12,ENSG00000006007,GDE1,51573,16,-1,19501693,19522123,protein_coding,0.190839272,6.627567212,8.863702054,0.004533696,0.014195463
ENSG00000006015.17,ENSG00000006015,REX1BD,55049,19,1,18588685,18592337,protein_coding,0.175540601,4.604739266,2.292947609,0.136468085,0.232187079
ENSG00000006016.11,ENSG00000006016,CRLF1,9244,19,-1,18572220,18607741,protein_coding,0.063935271,3.104933187,0.042767126,0.837032159,0.897534086
ENSG00000006025.12,ENSG00000006025,OSBPL7,114881,17,-1,47807372,47821834,protein_coding,0.858601307,4.210561647,22.36081603,1.99E-05,0.000138238
ENSG00000006042.12,ENSG00000006042,TMEM98,26022,17,1,32927910,32945106,protein_coding,-0.240085706,2.090490549,0.791477647,0.378560006,0.509665275
ENSG00000006062.16,ENSG00000006062,MAP3K14,9020,17,-1,45263119,45317029,protein_coding,0.032695992,4.39499676,0.138480968,0.711420656,0.803524756
ENSG00000006118.14,ENSG00000006118,TMEM132A,54972,11,1,60924460,60937159,protein_coding,0.279197701,6.167339468,9.024981625,0.004208924,0.013317877
ENSG00000006125.18,ENSG00000006125,AP2B1,163,17,1,35578046,35726413,protein_coding,-0.094579211,8.744606233,2.521648101,0.118806835,0.20799689
ENSG00000006194.10,ENSG00000006194,ZNF263,10127,16,1,3283283,3301401,protein_coding,-0.057947101,5.27064064,1.443745855,0.235382151,0.354891155
ENSG00000006210.7,ENSG00000006210,CX3CL1,6376,16,1,57372477,57385044,protein_coding,-0.450467481,5.475183815,2.169984309,0.147203278,0.246681781
ENSG00000006282.21,ENSG00000006282,SPATA20,64847,17,1,50543058,50555852,protein_coding,0.378246992,6.586477909,41.68764713,4.85E-08,9.06E-07
ENSG00000006327.13,ENSG00000006327,TNFRSF12A,51330,16,1,3018445,3022383,protein_coding,-0.929046369,6.978782424,44.17069288,2.48E-08,5.21E-07
ENSG00000006432.15,ENSG00000006432,MAP3K9,4293,14,-1,70722526,70809534,protein_coding,-0.282791761,4.513444843,5.993608104,0.018032833,0.044948292
ENSG00000006451.8,ENSG00000006451,RALA,5898,7,1,39623565,39708120,protein_coding,-0.042097622,6.008964266,0.788822972,0.378850011,0.509840571
ENSG00000006453.14,ENSG00000006453,BAIAP2L1,55971,7,-1,98291650,98401090,protein_coding,-0.132992565,7.525610014,7.883991881,0.007170297,0.020842447
ENSG00000006459.11,ENSG00000006459,KDM7A,80853,7,-1,140084746,140176983,protein_coding,-0.222101113,4.672701113,3.427935375,0.070209674,0.136783648
ENSG00000006468.14,ENSG00000006468,ETV1,2115,7,-1,13891229,13991425,protein_coding,-1.961708598,4.078446336,41.79289444,4.71E-08,8.88E-07
ENSG00000006530.17,ENSG00000006530,AGK,55750,7,1,141551278,141655244,protein_coding,0.03221824,4.988627171,0.328295296,0.569317771,0.687900105
ENSG00000006534.16,ENSG00000006534,ALDH3B1,221,11,1,68008578,68029282,protein_coding,1.172265898,6.704094506,79.86474737,8.19E-12,1.33E-09
ENSG00000006555.11,ENSG00000006555,TTC22,55001,1,-1,54779712,54801323,protein_coding,0.302584036,4.860646613,2.976895773,0.092504134,0.170432318
ENSG00000006576.16,ENSG00000006576,PHTF2,57157,7,1,77798773,77957503,protein_coding,-0.320322913,4.767911792,38.78814705,1.09E-07,1.74E-06
ENSG00000006607.14,ENSG00000006607,FARP2,9855,2,1,241356285,241494841,protein_coding,0.29582653,3.792136355,7.915642846,0.007063532,0.020643476
ENSG00000006611.16,ENSG00000006611,USH1C,10083,11,-1,17493895,17544416,protein_coding,0.181360772,6.01685646,0.683330078,0.414311021,0.545316539
ENSG00000006625.18,ENSG00000006625,GGCT,79017,7,-1,30496621,30504841,protein_coding,-0.582641814,5.545154082,24.31499688,1.00E-05,7.80E-05
ENSG00000006634.8,ENSG00000006634,DBF4,10926,7,1,87876216,87909553,protein_coding,-0.771163732,4.333033107,71.72476929,4.08E-11,3.92E-09
ENSG00000006638.11,ENSG00000006638,TBXA2R,6915,19,-1,3594507,3606875,protein_coding,0.030674716,1.593159063,0.000340043,0.985363469,0.991969644
ENSG00000006652.14,ENSG00000006652,IFRD1,3475,7,1,112422887,112481017,protein_coding,-0.264087056,4.692722636,12.47484955,0.00091757,0.003670826
ENSG00000006695.11,ENSG00000006695,COX10,1352,17,1,14069490,14231736,protein_coding,-0.149368226,3.841016881,6.978792518,0.011076683,0.029876435
ENSG00000006704.10,ENSG00000006704,GTF2IRD1,9569,7,1,74453790,74602605,protein_coding,0.156523297,5.676546187,7.19965668,0.00995082,0.027455459
ENSG00000006712.15,ENSG00000006712,PAF1,54623,19,-1,39385629,39391154,protein_coding,0.018846155,5.883513594,0.234740078,0.630217139,0.73779114
ENSG00000006715.16,ENSG00000006715,VPS41,27072,7,-1,38722974,38932394,protein_coding,0.179284193,5.796136882,12.03838243,0.001105414,0.004286106
ENSG00000006740.17,ENSG00000006740,ARHGAP44,9912,17,1,12789498,12991643,protein_coding,0.116531171,3.489466269,0.192164237,0.663072335,0.765017932
ENSG00000006744.19,ENSG00000006744,ELAC2,60528,17,-1,12991612,13018065,protein_coding,-0.138197803,6.474803586,6.958232595,0.01118817,0.030116835
ENSG00000006747.15,ENSG00000006747,SCIN,85477,7,1,12570577,12660182,protein_coding,0.52146086,3.639014143,5.53188746,0.022788824,0.05435694
ENSG00000006756.16,ENSG00000006756,ARSD,414,X,-1,2903972,2929349,protein_coding,0.528267416,5.621830136,41.36918893,8.28E-08,1.39E-06
ENSG00000006757.12,ENSG00000006757,PNPLA4,8228,X,-1,7898247,7927739,protein_coding,0.162994894,3.294311816,0.782049164,0.653750468,0.757902276
ENSG00000006831.10,ENSG00000006831,ADIPOR2,79602,12,1,1688574,1788674,protein_coding,-0.22711577,6.69135483,24.12864273,1.07E-05,8.20E-05
ENSG00000006837.12,ENSG00000006837,CDKL3,51265,5,-1,134286350,134371047,protein_coding,0.39267179,0.067749905,5.147551373,0.027776503,0.063924398
ENSG00000007038.11,ENSG00000007038,PRSS21,10942,16,1,2817180,2826304,protein_coding,0.172568022,3.493197092,0.525979797,0.474238301,0.602731192
ENSG00000007047.15,ENSG00000007047,MARK4,57787,19,1,45079288,45305284,protein_coding,0.286770316,5.316400399,23.67853915,1.25E-05,9.35E-05
ENSG00000007062.11,ENSG00000007062,PROM1,8842,4,-1,15963076,16084378,protein_coding,0.299429305,1.231940391,0.91591912,0.344537442,0.474944709
ENSG00000007080.11,ENSG00000007080,CCDC124,115098,19,1,17933015,17943991,protein_coding,-0.118044896,6.242972474,2.053666091,0.158269921,0.261037814
ENSG00000007168.13,ENSG00000007168,PAFAH1B1,5048,17,1,2593210,2685615,protein_coding,0.030014733,6.95380166,0.32994472,0.568352555,0.687103654
ENSG00000007202.15,ENSG00000007202,BLTP2,9703,17,-1,28614446,28645454,protein_coding,-0.135367281,8.120535911,5.814831631,0.019734515,0.048370207
ENSG00000007237.18,ENSG00000007237,GAS7,8522,17,-1,9910606,10198606,protein_coding,-0.451899352,1.118448528,7.631711898,0.008084938,0.023024126
ENSG00000007255.10,ENSG00000007255,TRAPPC6A,79090,19,-1,45162928,45178237,protein_coding,0.765857874,4.958392137,38.70575927,1.12E-07,1.77E-06
ENSG00000007264.15,ENSG00000007264,MATK,4145,19,-1,3777970,3802129,protein_coding,-0.486853761,1.369477464,1.744317151,0.193516825,0.305588702
ENSG00000007341.19,ENSG00000007341,ST7L,54879,1,-1,112523514,112620825,protein_coding,-0.122766518,3.366276701,7.766054054,0.007583423,0.021826647
ENSG00000007372.22,ENSG00000007372,PAX6,5080,11,-1,31784779,31817961,protein_coding,-0.273166269,1.776697103,0.799591568,0.973723382,0.985132489
ENSG00000007376.8,ENSG00000007376,RPUSD1,113000,16,-1,784974,788397,protein_coding,0.091205609,5.403657012,1.136127579,0.291761756,0.419930185
ENSG00000007384.15,ENSG00000007384,RHBDF1,64285,16,-1,58059,76355,protein_coding,0.17082388,6.025296405,8.89135607,0.004476181,0.014041492
ENSG00000007392.16,ENSG00000007392,LUC7L,55692,16,-1,188969,229463,protein_coding,0.022502465,5.034658927,0.115793043,0.735115702,0.8224243
ENSG00000007516.13,ENSG00000007516,BAIAP3,8938,16,1,1333638,1349441,protein_coding,0.685386843,4.309415328,16.57138408,0.000172617,0.000877083
ENSG00000007520.4,ENSG00000007520,TSR3,115939,16,-1,1349240,1351878,protein_coding,0.11032854,6.215788621,1.100442696,0.299380338,0.427710888
ENSG00000007541.16,ENSG00000007541,PIGQ,9091,16,1,566995,584109,protein_coding,0.315313163,5.762447519,36.06521742,2.39E-07,3.32E-06
ENSG00000007545.15,ENSG00000007545,CRAMP1,57585,16,1,1612337,1677908,protein_coding,0.155608919,5.24938684,2.09427137,0.154299999,0.255900147
ENSG00000007866.21,ENSG00000007866,TEAD3,7005,6,-1,35473597,35497079,protein_coding,0.231302708,4.950996708,13.32921719,0.000640374,0.002717653
ENSG00000007923.16,ENSG00000007923,DNAJC11,55735,1,-1,6634168,6701924,protein_coding,-0.153111068,5.95755347,9.091294111,0.0040826,0.012991405
ENSG00000007944.15,ENSG00000007944,MYLIP,29116,6,1,16129086,16148248,protein_coding,0.55277093,3.903411054,14.91393833,0.00033398,0.001545948
ENSG00000007968.7,ENSG00000007968,E2F2,1870,1,-1,23506438,23531233,protein_coding,-1.086384227,3.218868806,35.18461339,3.11E-07,4.14E-06
ENSG00000008018.9,ENSG00000008018,PSMB1,5689,6,-1,170535120,170553307,protein_coding,-0.111515437,7.204635158,1.334731188,0.253638418,0.376599371
ENSG00000008083.14,ENSG00000008083,JARID2,3720,6,1,15246069,15522042,protein_coding,0.148502379,4.71384636,2.128256911,0.151066343,0.251528261
ENSG00000008086.11,ENSG00000008086,CDKL5,6792,X,1,18425583,18653629,protein_coding,0.419987675,2.378778496,13.44531383,0.000610124,0.002606523
ENSG00000008128.23,ENSG00000008128,CDK11A,728642,1,-1,1702379,1724357,protein_coding,0.151777963,5.388549633,3.324815591,0.074421782,0.143167867
ENSG00000008130.15,ENSG00000008130,NADK,65220,1,-1,1751232,1780457,protein_coding,0.125410184,6.490451486,8.497837851,0.005372635,0.016410292
ENSG00000008256.16,ENSG00000008256,CYTH3,9265,7,-1,6161776,6272644,protein_coding,0.244021664,5.32634599,15.67170413,0.000246361,0.001187452
ENSG00000008277.14,ENSG00000008277,ADAM22,53616,7,1,87934143,88202889,protein_coding,0.4244819,3.240055974,5.2702173,0.026067867,0.060718341
ENSG00000008282.8,ENSG00000008282,SYPL1,6856,7,-1,106090505,106112589,protein_coding,-0.243379503,7.357792791,17.7362543,0.000109842,0.000597563
ENSG00000008283.16,ENSG00000008283,CYB561,1534,17,-1,63432304,63446354,protein_coding,0.156746074,6.995710318,5.469951019,0.023522799,0.055793644
ENSG00000008294.21,ENSG00000008294,SPAG9,9043,17,-1,50962174,51120868,protein_coding,-0.260845735,6.524868779,14.03377938,0.000478241,0.002114875
ENSG00000008300.17,ENSG00000008300,CELSR3,1951,3,-1,48636463,48662886,protein_coding,0.435165043,4.714601331,9.87093784,0.00286403,0.00965911
ENSG00000008311.15,ENSG00000008311,AASS,10157,7,-1,122064583,122144308,protein_coding,0.013392397,3.204128259,0.005821731,0.939494816,0.96507246
ENSG00000008323.15,ENSG00000008323,PLEKHG6,55200,12,1,6310436,6328506,protein_coding,0.655285878,4.729033337,10.77595864,0.00191361,0.006853582
ENSG00000008324.11,ENSG00000008324,SS18L2,51188,3,1,42581840,42596934,protein_coding,-0.184289314,4.097989681,1.64433834,0.205840646,0.320540289
ENSG00000008382.15,ENSG00000008382,MPND,84954,19,1,4343527,4360086,protein_coding,0.537484178,4.290336548,21.20571431,3.01E-05,0.000197161
ENSG00000008394.13,ENSG00000008394,MGST1,4257,12,1,16347142,16609259,protein_coding,-0.245516136,7.073229387,6.007073914,0.017911174,0.044719836
ENSG00000008405.12,ENSG00000008405,CRY1,1407,12,-1,106991364,107093549,protein_coding,-0.263177178,4.592091099,8.244373588,0.006049109,0.01812714
ENSG00000008441.16,ENSG00000008441,NFIX,4784,19,1,12995475,13098796,protein_coding,0.412391734,6.143097289,12.62541533,0.000860814,0.003480987
ENSG00000008513.16,ENSG00000008513,ST3GAL1,6482,8,-1,133454848,133571940,protein_coding,-0.710322304,5.429593311,30.36361084,1.36E-06,1.41E-05
ENSG00000008516.17,ENSG00000008516,MMP25,64386,16,1,3046062,3060726,protein_coding,0.494679224,0.746761034,4.969564866,0.030473611,0.0691043
ENSG00000008517.16,ENSG00000008517,IL32,9235,16,1,3065297,3082192,protein_coding,0.510822557,5.995363359,6.103622307,0.017064172,0.042947384
ENSG00000008710.19,ENSG00000008710,PKD1,5310,16,-1,2088708,2135898,protein_coding,0.241632909,6.426988431,2.370892469,0.13013092,0.224157247
ENSG00000008735.14,ENSG00000008735,MAPK8IP2,23542,22,1,50600793,50613981,protein_coding,0.75978912,4.150664003,39.46898741,8.99E-08,1.50E-06
